"cidade","qtd_uc","lixo_total_municipio"
"Aruanã","0","7224"
"Cruzeiro do Sul e Mâncio Lima","0","0"
"Brasilia","0","277"
"Cuiabá","0","1075"
"Sao Carlos","0","145"
"Poços de Caldas","0","0"
"Caracaraí","0","0"
"Bom Jesus da Lapa","0","450"
"Itacoatiara","0","20"
"Santarém","0","378"
"Mogi das Cruzes","0","0"
"Humaitá","0","347"
"Tabatinga","0","0"
"Ceilândia","0","398"
"Parintins","0","0"
"Joanópolis","0","0"
"Colômbia","0","2090"
"Uruguaiana","0","0"
"Eirunepé","0","0"
"Goiania","0","342"
"Campo Bom","0","252"
"São Paulo","0","0"
"Várzea Paulista","0","329"
"Monte Azul Paulista","0","344"
"Várzea Grande","0","1149"
"Jundiaí","0","640"
"Ouro Fino","0","0"
"Presidente Prudente","0","0"
"Barão de Melgaço","0","9036"
"Nazária","0","0"
"Brasília","0","0"
"Juazeiro","0","0"
"Uberlândia","0","0"
"Goiânia e Abadiânia","0","0"
"Guajará-Mirim","0","4230"
"Tefé","0","260"
"Araguari","1","439"
"Barueri","1","196"
"Indaiatuba","1","166"
"Montes Claros","1","0"
"Londrina","1","438"
"Imperatriz","2","0"
"Teresina","2","1439"
"Passo Fundo","2","2106"
"Brusque","2","0"
"Boca do Acre","3","0"
"Campinas","6","3936"
"Candeias do Jamari","6","0"
"Palmas","10","2985"
"Porto Velho","24","3232"
"Porto Alegre","30","56300"
"Manaus","60","36348"
